번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0461,DAY 16,편찬,편찬,編纂,"엮을 편, 모을 찬",2008수능,명사,"여러 가지 자료를 모아 체계적으로 정리하여 책을 만듦. ≒ 찬찬
04(撰纂).
¶ 사전 편찬 / ≪고려사≫ 편찬 / 교과서 편찬."
0462,DAY 16,보필,보필02,輔弼,"도울 보, 도울 필",2008수능,,"[명사] 윗사람의 일을 도움. 또는 그런 사람. ‘도움’, ‘모심’으로 순화.
¶ 참모들의 보필을 받다. / 열 명의 신하를 보필로 삼다. / 부장님은 능력 있는 과
장의 보필 덕에 승진하였다."
0463,DAY 16,승화,승화,昇華,"오를 승, 빛날 화",2008수능,명사,"(1) 어떤 현상이 더 높은 상태로 발전하는 일.
(2) {물리} 고체에 열을 가하면 액체가 되는 일이 없이 곧바로 기체로 변하는 현상. 얼음이
증발하는 경우나 드라이아이스 따위에서 볼 수 있다. 또는 그 반대의 변화 과정
을 이르기도 한다.
(3) {심리} 자아(自我)의 방어 기제의 하나. 정신 분석에서, 사회적으로 인정되지 않는 충동·
욕구를 예술 활동, 종교 활동 따위의 사회적·정신적 가치가 있는 것으로 치환하
여 충족하는 일이다."
0464,DAY 16,향연,향연02,饗宴,"잔치할 향, 잔치 연",2008수능,명사,"(1) 특별히 융숭하게 손님을 대접하는 잔치.
¶ 향연을 베풀다. / 왕은 승리한 장군들을 위하여 성대한 향연을 준비하였다.
(2) {책명} 플라톤의 전기(前期) 저작의 하나. 소크라테스를 비롯하여 그리스의 일류 문화인
들이 한곳에 모여 사랑을 여러 가지 관점에서 이야기한 대화편이다."
0465,DAY 16,논박,논박,論駁,"논할 론, 논박할 박",2008수능,명사,"어떤 주장이나 의견에 대하여 그 잘못된 점을 조리 있게 공격하여 말함.
¶ 젊은 학자들의 새로운 주장은 기존 학계의 논박의 대상이 될 것이다. / 석성은
병부 상서라는 큰 지위에서 책임을 지고 물러나게 될 뿐 아니라, 반대 당의 논
박으로 나랏일을 그르쳤다 하여 신변이 위태롭게 되는 처지에 놓여 있게 되었
다. ≪박종화, 임진왜란≫"
0466,DAY 16,배치,배치03,配置,"나눌 배, 둘 치",2008수능,명사,"사람이나 물자 따위를 일정한 자리에 알맞게 나누어 둠.
¶ 인력 배치 / 병력 배치 / 좌석 배치 / 미사일 배치 장소는 비밀 사항이다. / 모
희규는 입대한 첫날 저녁부터 대뜸 그의 소원대로 취사반에 배치를 받았다.
≪홍성원, 육이오≫"
0467,DAY 16,분산,분산02,分散,"나눌 분, 흩을 산",2008수능,명사,"(1) 갈라져 흩어짐. 또는 그렇게 되게 함.
¶ 인구 분산 / 시설물 분산 배치 / 병력 분산은 신속하게 이루어졌고, 적들은 아
무런 저항을 받지 않고 순천 읍내로 진입했다. ≪조정래, 태백산맥≫
(2) {물리} 파장이 다른 여러 개의 빛이 프리즘을 통과할 때에 각각의 색의 띠로 갈라지는
현상.
(3) {수학} 통곗값과 평균값의 차이인 편차를 제곱하여 얻은 값들의 산술 평균. 분산이 작으
면 자료는 평균값 주위에 모여 있게 되고, 분산이 크면 자료 가운데 평균값에서
멀리 떨어진 것이 많게 된다.
(4) {화학} 균일한 상(相)에 다른 물질이 미세한 입자로 흩어져 있는 현상. 이때 전체의 물
질계를 분산계라 하고, 용매를 분산매, 용질을 분산질이라 한다."
0468,DAY 16,하중,하중02,荷重,"멜 하, 무거울 중",2008수능,명사,"(1) 어떤 물체 따위의 무게. ‘무게’, ‘짐 무게’로 순화.
¶ 트럭의 하중에 짓눌린 바퀴.
(2) {물리} 물체에 작용하는 외부의 힘 또는 무게.
¶ 하중을 가하다. / 하중을 견디다. / 하중을 받다."
0469,DAY 16,방안,방안01,方案,"모 방, 책상 안",2008수능,명사,"일을 처리하거나 해결하여 나갈 방법이나 계획.
¶ 실천 방안 / 해결 방안이 좀처럼 떠오르지 않는다. / 방안을 강구해 봤지만 별
뾰족한 수가 없다."
0470,DAY 16,안배,안배01,按排按配,"누를 안, 밀칠 배, 누를 안, 나눌 배",2008수능,명사,"알맞게 잘 배치하거나 처리함.
¶ 체력 안배 / 지역 안배를 고려한 인사를 단행했다. / 나는 선생님의 그런 세심
한 안배에도 끼지 못하고 늘 가장자리에 처져 있었다. ≪박완서, 그 많던 싱아
는 누가 다 먹었을까≫"
0471,DAY 16,정취,정취01,情趣,"뜻 정, 뜻 취",2008수능,명사,"깊은 정서를 자아내는 흥취.
¶ 예술적 정취 / 정취를 자아내다 / 이 길은 몇 해 전만 해도 산모퉁이며 논길과
밭둑길이 있어 사뭇 시골길의 정취가 배어 있었는데…. ≪법정, 무소유≫"
0472,DAY 16,기개,기개01,氣槪,"기운 기, 대개 개",2008수능,명사,"씩씩한 기상과 굳은 절개.
¶ 대한 남아의 기개 / 기개가 높다 / 우리 선수단이 우리 민족의 기개를 세계에
떨치고 돌아왔습니다. / 하고자 하는 말을 서슴없이 내뿜을 수 있는 그 기개가
부러운 거였다. ≪이문구, 장한몽≫"
0473,DAY 16,이행,이행07,移行,"옮길 이, 다닐 행",2008수능,명사,"다른 상태로 옮아감.
¶ 시장 경제 체제로의 이행 과정 / 독재 정치에서 민주적 정권으로의 이행이 순조
롭게 진행됐다."
0474,DAY 16,훼손,훼손,毁損,"헐 훼, 덜 손",2008수능,명사,"(1) 체면이나 명예를 손상함.
¶ 명예에 훼손을 입다 / 아들에게 설득당하기보다 남편에게 설득당했다는 편이 어
미로서 위신의 훼손도 없을 것인즉, 길상도 모르지는 않았다. ≪박경리, 토지≫
(2) 헐거나 깨뜨려 못 쓰게 만듦.
¶ 문화유산 훼손 / 자연환경 훼손이 심하다."
0475,DAY 16,추진,추진02,推進,"밀 추, 나아갈 진",2008수능,명사,"(1) 물체를 밀어 앞으로 내보냄.
¶ 추진 장치.
(2) 목표를 향하여 밀고 나아감.
¶ 추진 방향 / 중점 추진 사항 / 사업 추진 / 범민족적인 통일 운동의 추진 / 우
리 부서는 인력 부족으로 업무 추진에 어려움을 겪고 있다."
0476,DAY 16,달성,달성,達成,"통달할 달, 이룰 성",2008수능,명사,"목적한 것을 이룸.
¶ 목표 달성을 위해 노력하다."
0477,DAY 16,성찰,성찰,省察,"살필 성, 살필 찰",2008수능,명사,"(1) 자기의 마음을 반성하고 살핌.
¶ 수도자는 자신의 내면적인 성찰과 자각을 게을리하지 않아야 한다. / 사자의 무
덤을 찾는 것은 사자를 애도하는 의미보다 자기 성찰을 위한 행위다.
≪홍성원, 육이오≫
(2) {가톨릭} 고해 성사 전에 자신이 지은 죄를 자세히 생각하는 일."
0478,DAY 16,촉매,촉매,觸媒,"닿을 촉, 중매 매",2008수능,명사,"{화학}
(1) 자신은 변화하지 아니하면서 다른 물질의 화학 반응을 매개하여 반응 속도를 빠르게 하
거나 늦추는 일. 또는 그런 물질. 반응을 빠르게 하는 정촉매(正觸媒)와 반응을 늦추는
부촉매(負觸媒)가 있다.
(2) 어떤 일을 유도하거나 변화시키는 일 따위를 비유적으로 이르는 말.
¶ 그 신들린 열기가 그들의 의지이며, 최면이고, 또 다른 결의를 다지는 촉매이기
는 할 것이라고 나는 생각했다. ≪김원우, 짐승의 시간≫"
0479,DAY 16,흡착,흡착,吸着,"마실 흡, 붙을 착",2008수능,명사,"(1) 어떤 물질이 달라붙음.
(2) {화학} 고체 표면의 얇은 층에 기체 분자나 용액 중의 물질 또는 액체의 분자·원자·이온
이 붙어 있는 현상. 암모니아가 숯덩이 표면에 붙는 현상 따위이다."
0480,DAY 16,활성,활성,活性,"살 활, 성품 성",2008수능,명사,"{화학} 물질이 에너지나 빛 따위에 의하여 활동이 활발하여지며 반응 속도가 빨라지는 성질.
또는 촉매의 반응 촉진 능력."
0481,DAY 17,회귀,회귀,回歸,돌아올 회돌아갈 귀,2008수능,명사,"한 바퀴 돌아 제자리로 돌아오거나 돌아감.
¶ 과거로의 회귀 / 민요섭이 죽은 것은 기도원이며 그가 죽기 직전까지 걸은 길은
기독교로의 회귀였다는 걸 떠올리자 그런 생각은 이내 사라졌다.
≪이문열, 사람의 아들≫"
0482,DAY 17,정체,정체03,停滯,"머무를 정, 막힐 체",2008수능,명사,"사물이 발전하거나 나아가지 못하고 한자리에 머물러 그침.
¶ 경제의 정체로 불황이 지속된다. / 주말이 되면 이 도로는 교외로 나들이 가는
차량으로 극심한 정체를 이룬다. / 후퇴도 전진도 정체보다는 낫다.
≪이병주, 지리산≫"
0483,DAY 17,전환,전환03,轉換,"구를 전, 바꿀 환",2008수능,명사,"(1) 다른 방향이나 상태로 바뀌거나 바꿈.
¶ 기분 전환 / 사고의 전환 / 인식의 전환 / 체제의 전환 / 전환을 모색하다. /
전환을 시도하다. / 전환을 촉구하다. / 방향의 전환을 꾀하다.
(2) {심리} 마음속의 감정적 갈등이 신체적 운동 기능이나 감각 기능의 증상으로 나타나는
것. 히스테리성 경련이나 마비 따위는 이러한 기제에 의하여 일어난다.
(3) {화학} 핵연료 가운데 핵분열을 일으키지 않는 우라늄 238이 중성자를 흡수하여 핵분열
을 일으키는 플루토늄 239로 변화하는 일."
0484,DAY 17,구명,구명04,究明,"연구할 구, 밝힐 명",2008수능,명사,"사물의 본질, 원인 따위를 깊이 연구하여 밝힘.
¶ 고대 유물에 대한 문제의 구명에서 무엇보다도 긴요한 것은 객관적인 자료의 뒷
받침이다."
0485,DAY 17,제휴,제휴,提携,"끌 제, 이끌 휴",2008수능,명사,"행동을 함께하기 위하여 서로 붙들어 도와줌.
¶ 제휴를 맺다. / 양 민족의 정상적인 제휴 위에는 기필코 양양한 탄탄대로가 열
릴 것을 의심치 않습니다. ≪김소운, 일본의 두 얼굴≫"
0486,DAY 17,주류,주류01,主流,"주인 주, 흐를 류",2007수능,명사,"(1) 강물 따위의 원줄기가 되는 큰 흐름.
(2) 사상이나 학술 따위의 주된 경향이나 갈래. ‘본류
01’로 순화.
¶ 그것이 우리 문학의 주류는 될 수 없었던 것이다. ≪이병주, 지리산≫
(3) 조직이나 단체 따위의 내부에서 다수파를 이르는 말.
¶ 주류와 비주류의 대립과 반목"
0487,DAY 17,동화,동화02,同化,"같을 동, 될 화",2007수능,명사,"(1) 성질, 양식(樣式), 사상 따위가 다르던 것이 서로 같게 됨.
¶ 자연과의 동화 / 감정의 동화가 일어나다. / 원만한 사회생활을 위해선 주변 사
람들과의 동화가 필요하다.
(2) 밖으로부터 얻어 들인 지식 따위를 완전히 자기 것으로 만듦.
(3) {언어} 말소리가 서로 이어질 때, 어느 한쪽 또는 양쪽이 영향을 받아 비슷하거나 같은
소리로 바뀌는 소리의 변화를 이르는 말. ≒ 닮음(2)."
0488,DAY 17,말살,말살,抹殺,"지울 말, 죽일 살",2007수능,명사,"있는 사물을 뭉개어 아주 없애 버림.
¶ 만주의 우리 독립군 거점은 완전히 와해돼 버리는 거지요. 말살입니다.
≪박경리, 토지≫"
0489,DAY 17,중첩,중첩02,重疊,"무거울 중, 거듭 첩",2007수능,명사,"거듭 겹치거나 포개어짐. ≒ 천첩02(臶疊).
¶ 앞으로 고난은 중첩이오. 그런 만큼 일하는 보람은 있겠지만요. ≪박경리, 토지
≫"
0490,DAY 17,소멸,소멸01,消滅,"사라질 소, 멸할 멸",2007수능,명사,"(1) 사라져 없어짐. ≒ 소망
04(消亡)·시멸
02.
¶ 미신을 타파한다고 장승을 죄 뽑아 버려 마을의 장승은 거의 소멸 상태에 이르
고 있다.
(2) {물리} 반입자와 소립자가 서로 합체하여 그 정지 에너지를 다른 입자의 형태로 내보냄.
또는 그런 과정."
0491,DAY 17,비극,비극,悲劇,"슬플 비, 심할 극",2007수능,명사,"(1) 인생의 슬프고 애달픈 일을 당하여 불행한 경우를 이르는 말.
¶ 비극이 일어나다. / 어쩌면 장렬하기까지 한 한 사나이의 비극적인 종말. 비극은
그러나 그 다음부터였다. ≪김성동, 만다라≫ / 그들은 장차 일어나려는 인생의
비극을 구경하려는 것처럼 눈도 깜박이지 않았다. ≪현진건, 적도≫
(2) {연영} 인생의 슬픔과 비참함을 제재로 하고 주인공의 파멸, 패배, 죽음 따위의 불행한
결말을 갖는 극 형식.
¶ 비극 영화 / 비극 작가."
0492,DAY 17,추리,추리04,推理,"밀 추, 다스릴 리",2007수능,명사,"(1) 알고 있는 것을 바탕으로 알지 못하는 것을 미루어서 생각함.
¶ 추리 과정 / 추리 문학 / 내 추리는 완전히 빗나가고 말았다. / 심찬수는 거기
서부터 추리가 막히고 오리무중에 빠져드는 느낌이었다. ≪김원일, 불의 제전≫
/ 그는 섣부른 상상이나 추리만으로 사고를 설명할 수는 없었다.
≪이청준, 이어도≫
(2) {논리} 어떠한 판단을 근거로 삼아 다른 판단을 이끌어 냄."
0493,DAY 17,해명,해명02,解明,"풀 해, 밝을 명",2007수능,명사,"까닭이나 내용을 풀어서 밝힘.
¶ 해명에 나서다. / 해명을 요구하다. / 놀라고 당황한 자기 태도에 대한 해명을
못하니까 자연 어색해질 수밖에 없었다. ≪박경리, 토지≫"
0494,DAY 17,옹호,옹호,擁護,"낄 옹, 도울 호",2007수능,명사,"두둔하고 편들어 지킴.
¶ 인권 옹호 / 나는 노동조합에 관해서 문외한이지만 노동자의 자율적인 권익 옹
호가 필요하다는 점엔 동의했다. ≪이병주, 행복어 사전≫"
0495,DAY 17,입증,입증02,立證,"설 립, 증거 증",2007수능,명사,"어떤 증거 따위를 내세워 증명함.
¶ 의료 사고의 입증 책임은 의료 기관에 있다. / 그 사고는 목격자가 없어 입증이
불가능했다. / 이 학설은 입증이 곤란하여 통설로 받아들이기 어렵다."
0496,DAY 17,교차,교차01,交叉,"사귈 교, 갈래 차",2007수능,명사,"(1) 서로 엇갈리거나 마주침.
¶ 만감의 교차 / 도로와 철도의 교차 지점 / 두 직선의 교차
(2) {생물} 생식 세포가 감수 분열을 할 때에 상동 염색체 사이에 일어나는 유전 물질의 부
분적인 교환 현상."
0497,DAY 17,관측,관측,觀測,"볼 관, 헤아릴 측",2007수능,명사,"(1) 육안이나 기계로 자연 현상 특히 천체나 기상의 상태, 추이, 변화 따위를 관찰하여 측정
하는 일.
¶ 별의 움직임에 대한 관측 자료.
(2) 어떤 사정이나 형편 따위를 잘 살펴보고 그 장래를 헤아림.
¶ 적정 관측 / 올해를 고비로 내년부터는 경기가 회복기에 접어들 것이라는 희망
적인 관측이 나오고 있다."
0498,DAY 17,모순,모순01,矛盾,"창 모, 방패 순",2007수능,명사,"(1) 어떤 사실의 앞뒤, 또는 두 사실이 이치상 어긋나서 서로 맞지 않음을 이르는 말. 중국
초나라의 상인이 창과 방패를 팔면서 창은 어떤 방패로도 막지 못하는 창이라 하고 방
패는 어떤 창으로도 뚫지 못하는 방패라 하여, 앞뒤가 맞지 않은 말을 하였다는 데서
유래한다.
¶ 사회의 구조적 모순 / 모순을 드러내다. / 체제의 모순을 극복하다.
(2) {논리} 두 가지의 판단, 사태 따위가 양립하지 못하고 서로 배척하는 상태. 두 판단이
중간에 존재하는 것이 없이 대립하여 양립하지 못하는 관계로, 이를테면 ‘고양이
는 동물이지만 동물이 아니다.’ 따위이다.
(3) {철학} 투쟁 관계에 있는 두 대립물이 공존하면서 맺는 상호 관계. 논리적 모순과 변증
법적 모순이 있는데, 논리적 모순이 사유의 영역에만 존재하는 데 비해 변증법
적 모순은 사물, 체계 따위의 객관적 실재에 속하며 모든 운동과 변화, 발전의
근원이 된다."
0499,DAY 17,낙관,낙관02,樂觀,"즐길 락, 볼 관",2007수능,명사,"(1) 인생이나 사물을 밝고 희망적인 것으로 봄.
(2) 앞으로의 일 따위가 잘되어 갈 것으로 여김.
¶ 낙관을 불허하는 정세 / 올 물가는 인상 요인이 많아 낙관만 하고 있을 수 없
다."
0500,DAY 17,고심,고심02,苦心,"쓸 고, 마음 심",2007수능,명사,"몹시 애를 태우며 마음을 씀. ‘애씀’으로 순화.
¶ 고심 끝에 결정을 내리다. / 아비 없는 자식을 키워야 하는 어머니의 고심은 이
만저만이 아니었다."
0501,DAY 17,노골적,노골적,露骨的,"이슬, 로, 뼈 골어조사, 적",2007수능,"관형사, , 명사","숨김없이 모두를 있는 그대로 드러내는. 또는 그런 것.
¶ 성의 노골적 묘사 / 상대방에게 속마음을 노골적으로 드러내다. / 노골적으로
금품을 요구하다. / 대불이는 고집을 꺾지 않은 형에 대해 노골적으로 불만을
털어 내며 어머니와 함께 새벽길을 떠났다. ≪문순태, 타오르는 강≫"
0502,DAY 17,혐의,혐의,嫌疑,싫어할 혐의심할 의,2007수능,명사,"(1) 꺼리고 미워함.
¶ 이 지경 될 줄 알았다면 남과 혐의나 아니 지었다면 좋을 것을….
≪이해조, 화의 혈≫
(2) {법률} 범죄를 저질렀을 가능성이 있다고 봄. 또는 그 가능성. 수사를 개시하게 되는 동
기가 된다.
¶ 범죄 혐의 / 혐의를 받다. / 혐의를 두다. / 혐의를 씌우다. / 혐의가 짙다."
0503,DAY 17,의거,의거02,依據,"의지할 의, 근거 거",2007수능,명사,"(1) 어떤 사실이나 원리 따위에 근거함.
¶ 의거 자료.
(2) 어떤 힘을 빌려 의지함. ≒ 의빙01(依憑).
(3) 산수(山水)에 의지하여 웅거함."
0504,DAY 17,필연,필연01,必然,"반드시 필, 그럴 연",2007수능,"Ⅰ, , 명사","사물의 관련이나 일의 결과가 반드시 그렇게 될 수밖에 없음.
¶ 시초는 우연이 만들어 놓되 그 시초를 이끌어 가는 것은 필연이 아닌가.
≪유재용, 성역≫
[Ⅱ] [부사]
틀림없이 꼭. ≒ 필야(必也).
¶ 필연 무슨 곡절이 있는 것이 분명해."
0505,DAY 17,도출,도출02,導出,"인도할 도, 날 출",2007수능,명사,"판단이나 결론 따위를 이끌어 냄.
¶ 국민적 합의의 도출 / 협상이 계속 진행되었지만 결론 도출은 어렵다는 전망이
지배적이었다."
0506,DAY 17,창제,창제02,創製,"비롯할 창, 지을 제",2007수능,명사,"전에 없던 것을 처음으로 만들거나 제정함.
¶ 훈민정음 창제."
0507,DAY 17,선험적,선험적,先驗的,"먼저 선, 시험 험, 어조사 적",2007수능,"관형사, , 명사","{철학} 경험에 앞서서 인식의 주관적 형식이 인간에게 있다고 주장하는. 또는 그런 것. 대상
에 관계되지 않고 대상에 대한 인식이 선천적으로 가능함을 밝히려는 인식론적 태도
를 말한다.
¶ 결사적으로 역사를 왜곡하려는 것도 선험적 열등 의식 때문일 것이다.
≪박경리, 토지≫"
0508,DAY 17,표상,표상,表象,"겉 표, 코끼리 상",2007수능,명사,"(1) 본을 받을 만한 대상. ‘본보기’로 순화.
¶ 신체의 장애에 굴하지 않고 성공한 그는 모든 장애인들의 표상이 되었다.
(2) 대표로 삼을 만큼 상징적인 것.
¶ 태극기는 한민족의 표상이다. / 그의 검은 얼굴은 사나이의 표상이요….
≪나도향, 환희≫
(3) {문학} 감각에 의하여 획득한 현상이 마음속에서 재생된 것.
(4) {심리} 외부 세계의 대상을 마음속에 나타내는 것.
(5) {철학} 지각(知覺)에 의하여 의식에 나타나는 외계 대상의 상(像). 직관적인 것으로 개념
이나 이념과 다르다."
0509,DAY 17,절차,절차02,節次,"마디 절, 버금 차",2007수능,명사,"일을 치르는 데 거쳐야 하는 순서나 방법.
¶ 수속 절차 / 법적 절차 / 절차를 밟다. / 절차를 거치다. / 절차가 복잡하다. /
모든 절차가 순조롭게 진행되었다. / 그것은 형식상의 절차에 불과하다."
0510,DAY 17,선정,선정07,選定,"가릴 선, 정할 정",2007수능,명사,"여럿 가운데서 어떤 것을 뽑아 정함. ≒ 초정02(抄定)·택정(擇定).
¶ 작품 선정 / 사업자 선정 / 필자 선정."
0511,DAY 18,신축적,신축적,伸縮的,"펼 신, 줄일, 축, 어조사, 적",2007수능,"관형사, , 명사","(1) 늘고 주는 성질이 있는. 또는 그런 것.
¶ 신축적 소재 / 이 속옷은 신축적이어서 체형을 잘 보정해 준다.
(2) 일의 형편에 따라 적절하게 대처할 수 있는. 또는 그런 것.
¶ 신축적 운용 / 신축적 관리 / 신축적인 통화 공급 / 변화하는 상황에 신축적으
로 대처하다."
0512,DAY 18,추세,추세03,趨勢,"달아날 추, 형세 세",2007수능,명사,"(1) 어떤 현상이 일정한 방향으로 나아가는 경향.
¶ 세계적 추세 / 일반적 추세 / 증가 추세 / 추세를 따르다. / 감소 추세를 보이
다. / 시대적 추세에 맞추다. / 결혼을 늦게 하는 것이 요즘의 추세이다.
(2) 어떤 세력이나 세력 있는 사람을 붙좇아서 따름.
¶ 그는 기미년 전후의 한참 당년에 예수교가 득세할 무렵에는 독신자가 되었었는
데 추세를 잘하기로 유명한 그는 그 뒤로 차차 예수교가 신망이 없어져 가니까
고만 불교 신자로 교적을…. ≪이기영, 고향≫"
0513,DAY 18,유망,유망01,有望,"있을 유, 바랄 망",2007수능,명사,"(일부 명사 앞에 쓰여) 앞으로 잘될 듯한 희망이나 전망이 있음.
¶ 유망 사업 / 유망 직종 / 금메달 유망 종목 / 유망 중소기업을 육성하다."
0514,DAY 18,집약,집약,集約,"모을 집, 맺을 약",2007수능,명사,한데 모아서 요약함.
0515,DAY 18,제정,제정01,制定,"지을 제, 정할 정",2007수능,명사,"제도나 법률 따위를 만들어서 정함.
¶ 법 제정 / 법률의 제정은 법률안의 제안, 의결, 공포의 절차를 밟아서 이루어진
다. / 김치삼은 1948년 7월 17일에 제정 공포된 구헌법에 무척이나 흥미를 느
꼈었다. ≪박태순, 어느 사학도의 젊은 시절≫"
0516,DAY 18,발언,발언02,發言,"필 발, 말씀 언",2007수능,명사,"말을 꺼내어 의견을 나타냄. 또는 그 말. ≒ 발어(發語).
¶ 장관의 발언 / 발언에 나서다. / 무책임한 발언에 대하여 사과합니다. / 그 국회
의원은 잘못된 발언으로 물의를 빚었다. / 그는 삐뚤어진 현실에 대해 한마디
의 발언도 할 수 없는 학문이라면, 차라리 무지한 시민으로 돌아가….
≪홍성원, 육이오≫"
0517,DAY 18,검열,검열01,檢閱,"검사할 검, 볼 열",2007수능,명사,"(1) 어떤 행위나 사업 따위를 살펴 조사하는 일.
¶ 검열을 받다. / 이것저것 겹친 검열 때문에 나는 한동안 밤잠도 자지 못하고 일
에 쫓기고 있었다. ≪이청준, 조율사≫
(2) {군사} 군기, 교육, 작전 준비, 장비 따위의 군사 상태를 살펴보는 일.
¶ 내무반 검열.
(3) {법률} 언론, 출판, 보도, 연극, 영화, 우편물 따위의 내용을 사전에 심사하여 그 발표를
통제하는 일. 사상을 통제하거나 치안을 유지하기 위한 것이다.
¶ 영화의 사전 검열이 폐지되었다."
0518,DAY 18,규제,규제,規制,"법 규, 지을 제",2007수능,명사,"(1) 규칙이나 규정에 의하여 일정한 한도를 정하거나 정한 한도를 넘지 못하게 막음.
¶ 수입에 대한 규제
(2) 규칙으로 정함. 또는 그 정하여 놓은 것.
¶ 군국기무처에서 만든 규제에 의하면 총리대신은 의정부의 백관을 관장하고 서정
(庶政)을 총람하게 돼 있다. ≪유주현, 대한 제국≫"
0519,DAY 18,유해,유해02,有害,"있을 유, 해할 해",2007수능,명사,"(주로 일부 명사 앞에 쓰여) 해로움이 있음.
¶ 유해 물질 / 유해 식품."
0520,DAY 18,투항,투항,投降,"던질 투, 항복할 항",2007수능,명사,"적에게 항복함.
¶ 투항 권고문 / 병사들은 그에게 투항을 거듭 촉구했다. / 만일 투항을 거부하면
그때 사살해도 늦지 않는다. 알겠나? ≪홍성원, 육이오≫"
0521,DAY 18,도리,도리10,道理,"길 도, 다스릴 리",2007수능,명사,"(1) 사람이 어떤 입장에서 마땅히 행하여야 할 바른길.
¶ 도리에 어긋나다. / 도리를 지키다. / 스승에게 제자 된 도리를 다했다.
(2) 어떤 일을 해 나갈 방도(方道). ≒ 도철02(途轍).
¶ 알 도리가 없다. / 어떻게 할 도리가 없다. / 이젠 도리 없이 포기해야겠다. /
이렇게 넋을 잃고 있지 말고 살아갈 도리를 찾아보자."
0522,DAY 18,처사,처사02,處事,"곳 처, 일 사",2007수능,명사,"일을 처리함. 또는 그런 처리.
¶ 부당한 처사 / 그는 자기만 따돌린 친구의 처사가 괘씸하였다. / 가족들의 만류
를 뿌리치고 과감히 낙향해 버린 자신의 처사가 결과적으로 옳았음이 증명되었
다. ≪윤흥길, 완장≫"
0523,DAY 18,개괄,개괄,槪括,"대개 개, 묶을 괄",2007수능,명사,"(1) 중요한 내용이나 줄거리를 대강 추려 냄.
¶ 개괄 설명 / 그는 이 작품에서 시대의 역사적 개괄을 시도했다.
(2) {논리} 어떤 개념의 외연을 확대하여, 보다 많은 사물을 포괄하는 개념으로 만드는 일."
0524,DAY 18,보수,보수09,報酬,"갚을 보, 갚을 수",2007수능,명사,"(1) 고맙게 해 준 데 대하여 보답을 함. 또는 그 보답.
¶ 가난한 이에게 남몰래 도움을 준 사람에게는 반드시 그 보수가 따를 것이다.
(2) 일한 대가로 주는 돈이나 물품.
¶ 한 달치 보수 / 보수가 박하다. / 높은 보수를 받다. / 보수를 지급하다. / 정당
한 보수를 요구하다. / 사원들은 성과에 따라 매달 다른 보수를 받고 있다. /
일은 갑절이나 하고 보수는 반도 안 되고…. ≪이병주, 관부 연락선≫
(3) {심리} 행위를 촉진하거나 학습 분위기를 조성하기 위하여 사람이나 동물에게 주는 물질
이나 칭찬."
0525,DAY 18,해소,해소03,解消,"풀 해, 사라질 소",2007수능,명사,"(1) 어려운 일이나 문제가 되는 상태를 해결하여 없애 버림.
¶ 교통난 해소 / 실업 문제의 해소 / 지역감정의 해소 대책을 세우다 / 스트레스
해소에 도움이 될 만한 것이 없겠습니까?
(2) 어떤 관계를 풀어서 없애 버림.
(3) 어떤 단체나 조직 따위를 없애 버림.
¶ 학생회의 해소."
0526,DAY 18,의결,의결02,議決,의논할 의결단할 결,2007수능,명사,"의논하여 결정함. 또는 그런 결정. ≒ 결의
03(決議).
¶ 이사회의 의결이 나오는 대로 조치가 취해질 것이다. / 헌법은 국회의 의결을
거쳐 국민 투표로 개정된다."
0527,DAY 18,중복,중복05,重複,"무거울 중, 겹칠 복",2007수능,명사,"거듭하거나 겹침.
¶ 중복 사용 / 중복 투자 / 쌀 한 가마니 값에 해당할 선물에다 은 십자가까지 곁
들인다면 별 뜻도 없고 효과적인 게 못 될 것 같았다. 중복은 피해야 한다고
그는 결론했다. ≪이문구, 장한몽≫"
0528,DAY 18,전래,전래,傳來,"전할 전, 올 래",2007수능,명사,"(1) 예로부터 전하여 내려옴.
¶ 전래 동요 / 전래 동화 / 전래 민요 / 이 도자기는 우리 집안 전래로 전해져 내
려오는 가보이다.
(2) 외국에서 전하여 들어옴.
¶ 목화의 전래 / 불교의 전래 / 옛날 중국 무덤에 있는 조각이 다른 문물의 전래
에 섞여서 일본으로 건너가서…. ≪최인훈, 가면고≫"
0529,DAY 18,다각화,다각화,多角化,"많을, 다, 뿔 각될 화",2006수능,명사,"여러 방면이나 부문에 걸치도록 함.
¶ 수출 품목의 다각화 / 다각화를 꾀하다. / 다각화를 모색하다. / 다각화를 추진
하다. / 그 회사는 상품의 다각화로 해외 시장을 공략하고 있다."
0530,DAY 18,행사,행사02,行使,"다닐 행, 부릴 사",2006수능,명사,"(1) 부려서 씀.
¶ 권력 행사 / 폭력 행사 / 실력 행사.
(2) 행동이나 하는 짓.
¶ 나와서 생각하니 실로 기가 막힌다. 그는 도리어 모친과 아내에게 부친의 행사
를 물어본다. ≪이기영, 신개지≫
(3) {법률} 권리의 내용을 실현함."
0531,DAY 18,수요,수요06,需要,"쓰일 수, 요긴할 요",2006수능,명사,"{경제} 어떤 재화나 용역을 일정한 가격으로 사려고 하는 욕구.
¶ 수요와 공급 / 수요가 증가하다. / 수요가 줄어들다. / 수요와 공급의 균형을 맞
추다. / 그 상품은 청소년들 사이에서 수요가 급증하고 있다."
